Agent.ID,State,Region
1,Federal Territories,Central region
2,Federal Territories,Central region
3,Federal Territories,Central region
4,Federal Territories,Central region
5,Federal Territories,Central region
6,Federal Territories,Central region
7,Federal Territories,Central region
8,Federal Territories,Central region
9,Selangor,Central region
10,Selangor,Central region
11,Selangor,Central region
12,Penang,Northern region
13,Penang,Northern region
14,Penang,Northern region
15,Selangor,Central region
16,Selangor,Central region
17,Selangor,Central region
18,Selangor,Central region
19,Selangor,Central region
20,Selangor,Central region
21,Johor,Sothern region
22,Johor,Sothern region
23,Johor,Sothern region
24,Selangor,Central region
25,Selangor,Central region
26,Selangor,Central region
27,Penang,Northern region
28,Penang,Northern region
29,Penang,Northern region
30,Selangor,Central region
31,Selangor,Central region
32,Selangor,Central region
33,Selangor,Central region
34,Selangor,Central region
35,Selangor,Central region
36,Perak,Northern region
37,Perak,Northern region
38,Perak,Northern region
39,Negeri Sembilan,Sothern region
40,Negeri Sembilan,Sothern region
41,Negeri Sembilan,Sothern region
42,Johor,Sothern region
43,Pahang,Eastern region
44,Pahang,Eastern region
45,Pahang,Eastern region
46,Kedah,Northern region
47,Kedah,Northern region
48,Selangor,Central region
49,Selangor,Central region
50,Selangor,Central region
51,Malacca,Sothern region
52,Malacca,Sothern region
53,Malacca,Sothern region
54,Kedah,Northern region
55,Kedah,Northern region
56,Kedah,Northern region
57,Johor,Sothern region
58,Johor,Sothern region
59,Kelantan,Eastern region
60,Kelantan,Eastern region
61,Kelantan,Eastern region
62,Kelantan,Eastern region
63,Kelantan,Eastern region
64,Kelantan,Eastern region
65,Kelantan,Eastern region
66,Terengganu,Eastern region
67,Terengganu,Eastern region
68,Terengganu,Eastern region
69,Selangor,Central region
70,Selangor,Central region
71,Selangor,Central region
72,Kedah,Northern region
73,Kedah,Northern region
74,Kedah,Northern region
75,Johor,Sothern region
76,Johor,Sothern region
77,Federal Territories,Central region
78,Johor,Sothern region
79,Johor,Sothern region
80,Johor,Sothern region
81,Selangor,Central region
82,Selangor,Central region
83,Selangor,Central region
84,Johor,Sothern region
85,Federal Territories,Central region
86,Perlis,Northern region
87,Perlis,Northern region
88,Perlis,Northern region
89,Selangor,Central region
90,Selangor,Central region
91,Selangor,Central region
92,Perak,Northern region
93,Perak,Northern region
94,Perak,Northern region
95,Selangor,Central region
96,Selangor,Central region
97,Selangor,Central region
98,Perak,Northern region
99,Perak,Northern region
100,Federal Territories,Central region
101,Kedah,Northern region
102,Johor,Sothern region
103,Johor,Sothern region
104,Malacca,Sothern region
105,Malacca,Sothern region
106,Malacca,Sothern region
107,Terengganu,Eastern region
108,Terengganu,Eastern region
109,Terengganu,Eastern region
110,Malacca,Sothern region
111,Johor,Sothern region
112,Johor,Sothern region
113,Perak,Northern region
114,Perak,Northern region
115,Federal Territories,Central region
116,Pahang,Eastern region
117,Pahang,Eastern region
118,Pahang,Eastern region
119,Terengganu,Eastern region
120,Terengganu,Eastern region
121,Terengganu,Eastern region
122,Johor,Sothern region
123,Federal Territories,Central region
124,Malacca,Sothern region
125,Malacca,Sothern region
126,Perak,Northern region
127,Federal Territories,Central region
128,Perak,Northern region
129,Pahang,Eastern region
130,Pahang,Eastern region
131,Negeri Sembilan,Sothern region
132,Negeri Sembilan,Sothern region
133,Negeri Sembilan,Sothern region
134,Federal Territories,Central region
135,Federal Territories,Central region
136,Federal Territories,Central region
137,Kedah,Northern region
138,Kedah,Northern region
139,Federal Territories,Central region
140,Negeri Sembilan,Sothern region
141,Negeri Sembilan,Sothern region
